0	1
width	CAU
and	O
the	O
water	CAU
cement	ELE
ratio	CAU
be	O
both	RES
influential	RES
to	O
an	O
increase	RES
in	O
corrosion	DEF
area	CAU
only	RES
the	O
water	CAU
cement	ELE
ratio	CAU
have	O
bear	DEF
on	O
corrosion	DEF
loss	DEF
kohonen	MET
self	MET
organize	MET
map	MET
ksom	MET
and	O
regression	MET
artificial	MET
neural	MET
network	MET
ann	MET
couple	MET
methodology	MET
be	O
develop	RES
to	O
find	O
the	O
miss	DEF
value	DEF
of	O
independent	CAU
variable	CAU
in	O
the	O
sparse	MET
database	MET
and	O
for	O
quantitatively	O
evaluate	RES
the	O
effect	RES
of	O
these	O
variable	CAU
on	O
ct	MET
value	DEF
that	O
be	O
express	RES
in	O
totalcl	CAU
cem	CAU
or	O
freecl	CAU
cem	CAU
and	O
cl−	CAU
oh−	CAU
the	O
simulation	MET
result	RES
have	O
demonstrate	O
that	O
the	O
develop	RES
capacitive	MET
sensor	MET
would	O
be	O
highly	O
effective	RES
in	O
measure	MET
rust	DEF
layer	ELE
thickness	CAU
of	O
various	O
rebar	ELE
and	O
the	O
method	MET
be	O
more	RES
sensitive	RES
for	O
large	RES
diameter	CAU
of	O
rebar	ELE
as	O
well	O
as	O
high	RES
volume	CAU
expansion	DEF
ratio	DEF
the	O
simulation	MET
have	O
also	O
be	O
successfully	O
conduct	O
in	O
both	RES
uniform	CAU
and	O
non	RES
uniform	CAU
corrosion	DEF
test	MET
of	O
reinforce	ELE
concrete	ELE
for	O
the	O
sensor	MET
and	O
the	O
result	RES
have	O
show	O
that	O
the	O
performance	DEF
of	O
the	O
sensor	MET
could	O
be	O
quite	O
promise	O
the	O
simulation	MET
work	O
provide	O
theoretical	MET
base	O
for	O
such	O
direct	MET
ct	MET
sense	MET
method	MET
development	MET
which	O
can	O
lead	O
to	O
promise	O
corrosion	DEF
monitor	MET
sensor	MET
network	MET
in	O
future	O
to	O
provide	O
useful	O
information	MET
for	O
safety	DEF
operation	DEF
of	O
civil	ELE
infrastructure	ELE
these	O
datum	MET
be	O
then	O
use	O
to	O
establish	O
and	O
validate	RES
the	O
propose	O
model	MET
and	O
the	O
influence	RES
of	O
corrosion	DEF
on	O
fatigue	DEF
life	DEF
be	O
illustrate	O
and	O
discuss	O
in	O
detail	O
the	O
propose	O
multi	MET
parameter	MET
phenomenological	MET
weibull	MET
model	MET
can	O
be	O
use	O
to	O
evaluate	RES
the	O
fatigue	DEF
life	DEF
of	O
steel	ELE
rebar	ELE
for	O
both	RES
natural	CAU
corrosion	DEF
and	O
artificially	RES
accelerate	RES
corrosion	DEF
which	O
establish	O
quantitative	O
influence	RES
of	O
corrosion	DEF
degree	DEF
on	O
fatigue	DEF
life	DEF
for	O
steel	ELE
rebar	ELE
in	O
particular	O
the	O
result	RES
indicate	O
that	O
the	O
influence	RES
of	O
corrosion	DEF
on	O
fatigue	DEF
life	DEF
be	O
not	RES
the	O
same	RES
for	O
different	CAU
kind	CAU
of	O
steel	ELE
rebar	ELE
for	O
example	O
the	O
model	MET
show	O
that	O
the	O
fatigue	DEF
life	DEF
of	O
grade	CAU
mpa	O
steel	ELE
re	ELE
on	O
this	O
basis	O
the	O
flexural	DEF
behavior	DEF
of	O
corrode	CAU
single	CAU
way	CAU
rc	ELE
slab	ELE
under	O
fourth	MET
point	MET
bend	DEF
condition	CAU
be	O
simulate	RES
and	O
analyze	MET
whilst	O
the	O
influence	RES
of	O
corrosion	DEF
level	DEF
concrete	ELE
strength	DEF
rebar	ELE
type	CAU
and	O
diameter	CAU
be	O
investigate	RES
simulation	MET
result	RES
indicate	O
that	O
flexural	DEF
bear	DEF
capacity	DEF
of	O
corrode	CAU
rc	ELE
slab	ELE
increase	RES
when	O
reinforcement	ELE
be	O
minor	RES
corrode	CAU
and	O
decrease	RES
for	O
far	O
increase	RES
corrosion	DEF
level	DEF
the	O
effect	RES
of	O
concrete	ELE
strength	DEF
on	O
bear	DEF
capacity	DEF
of	O
slab	ELE
be	O
insignificant	RES
with	RES
the	O
increase	RES
of	O
corrosion	DEF
level	DEF
the	O
rc	ELE
slab	ELE
with	RES
plain	ELE
rebar	ELE
break	RES
in	O
brittle	DEF
failure	DEF
when	O
corrosion	DEF
level	CAU
be	O
over	O
in	O
experiment	MET
variation	DEF
of	O
the	O
measure	MET
result	RES
in	O
both	RES
method	MET
be	O
correlate	RES
with	RES
the	O
progressive	RES
exfoliation	DEF
of	O
the	O
oxide	CAU
film	ELE
rebar	ELE
corrosion	DEF
be	O
generate	RES
by	O
electrical	MET
charge	CAU
and	O
be	O
continuously	O
monitor	RES
by	O
both	RES
method	MET
it	O
be	O
confirm	O
that	O
characteristic	DEF
behavior	DEF
in	O
both	RES
ae	CAU
activity	CAU
and	O
en	CAU
parameter	CAU
be	O
elucidate	O
in	O
good	RES
association	DEF
with	RES
exfoliation	DEF
by	O
continuous	MET
monitor	MET
in	O
this	O
study	O
novel	CAU
combine	RES
experimental	MET
machine	MET
learn	MET
approach	O
be	O
develop	RES
to	O
estimate	RES
steel	ELE
corrosion	DEF
distribution	DEF
in	O
rc	ELE
beam	ELE
this	O
procedure	MET
apply	O
generative	MET
adversarial	MET
network	MET
gan	MET
to	O
consider	O
the	O
effect	RES
of	O
spatially	CAU
correlate	CAU
rebar	ELE
corrosion	DEF
in	O
transverse	CAU
and	O
longitudinal	CAU
direction	CAU
pix2pix	MET
network	MET
be	O
train	O
by	O
the	O
distribution	DEF
of	O
dataset	MET
of	O
steel	ELE
weight	DEF
loss	DEF
that	O
be	O
generate	RES
base	O
on	O
random	MET
field	MET
theory	MET
with	RES
the	O
statistical	MET
parameter	CAU
identify	O
use	O
the	O
experimental	MET
evidence	MET
and	O
the	O
distribution	DEF
of	O
dataset	MET
of	O
corrosion	DEF
crack	DEF
width	CAU
construct	O
use	O
finite	MET
element	MET
fe	MET
analysis	MET
subsequently	O
the	O
probability	DEF
density	DEF
function	MET
pdf	MET
capacitive	MET
sensor	MET
with	RES
different	CAU
electrode	CAU
placement	DEF
position	CAU
exhibit	O
several	O
advantage	O
and	O
disadvantage	RES
the	O
electrode	MET
of	O
the	O
capacitance	MET
sensor	MET
place	CAU
in	O
the	O
up	O
and	O
down	O
position	CAU
more	RES
easily	O
detect	RES
rebar	ELE
corrosion	DEF
and	O
the	O
electrode	MET
place	CAU
on	O
the	O
leave	CAU
and	O
right	CAU
side	CAU
exhibit	O
high	RES
sensitivity	DEF
formula	MET
for	O
the	O
rebar	ELE
rust	DEF
layer	DEF
height	CAU
and	O
the	O
relationship	DEF
between	RES
the	O
capacitance	DEF
and	O
corrosion	DEF
thickness	CAU
be	O
establish	O
for	O
non	CAU
uniform	CAU
corrosion	DEF
capacitance	DEF
value	DEF
be	O
use	O
to	O
evaluate	RES
the	O
compactness	DEF
of	O
the	O
rc	ELE
sample	ELE
mechanical	MET
test	MET
be	O
conduct	O
after	RES
specimen	ELE
reach	O
predetermine	CAU
corrosion	DEF
level	CAU
the	O
critical	CAU
mechanical	MET
property	DEF
of	O
cam	CAU
sea	CAU
and	O
four	O
steel	ELE
rebar	ELE
be	O
extract	O
and	O
analyze	MET
in	O
addition	O
potentiodynamic	MET
polarization	MET
test	MET
be	O
perform	O
and	O
the	O
tafel	MET
curve	DEF
be	O
employ	O
to	O
determine	O
the	O
corrosion	DEF
rate	DEF
of	O
cam	CAU
sea	CAU
steel	ELE
rebar	ELE
and	O
niti	CAU
sea	CAU
niti	CAU
alloy	CAU
be	O
use	O
as	O
reference	MET
for	O
be	O
the	O
more	RES
traditional	CAU
composition	CAU
use	O
as	O
sea	CAU
it	O
be	O
find	O
that	O
the	O
corrosion	DEF
resistance	DEF
of	O
cam	CAU
sea	CAU
be	O
high	RES
than	RES
ms	CAU
and	O
xs	CAU
but	O
lower	RES
than	RES
niti	CAU
sea	CAU
ss	CAU
and	O
compare	RES
to	O
the	O
typical	CAU
eici	CAU
approach	O
our	O
boost	CAU
eici	CAU
rehabilitation	DEF
approach	O
improve	RES
long	CAU
term	CAU
performance	DEF
by	O
almost	O
the	O
volumetric	MET
analysis	MET
demonstrate	O
that	O
by	O
precipitate	CAU
ce	CAU
rich	CAU
compound	CAU
the	O
ce	CAU
iii	CAU
injection	CAU
reduce	RES
the	O
number	CAU
and	O
size	CAU
of	O
porosity	DEF
while	O
lower	RES
of	O
the	O
interconnect	CAU
pore	ELE
steel	ELE
surface	ELE
be	O
characterize	RES
by	O
ray	MET
photoelectron	MET
spectroscopy	MET
and	O
field	MET
emission	MET
scan	MET
electron	MET
microscopy	MET
result	RES
indicate	O
that	O
the	O
presence	O
of	O
sulfate	CAU
affect	RES
the	O
electrochemical	MET
behavior	DEF
of	O
steel	ELE
corrosion	DEF
at	O
low	CAU
and	O
high	CAU
chloride	CAU
concentration	CAU
where	O
the	O
capability	DEF
of	O
the	O
corrosion	DEF
protective	ELE
layer	ELE
be	O
influence	RES
by	O
the	O
increase	RES
of	O
the	O
sulfate	CAU
and	O
chloride	CAU
content	CAU
calcium	CAU
carbonate	CAU
deposit	CAU
be	O
observe	O
at	O
the	O
surface	ELE
of	O
corrode	CAU
sample	ELE
where	O
high	RES
precipitation	DEF
of	O
calcium	CAU
carbonate	CAU
crystal	CAU
on	O
carbon	CAU
steel	ELE
surface	ELE
be	O
associate	RES
with	RES
high	RES
rate	DEF
of	O
localize	CAU
corrosion	DEF
the	O
galvanostatic	MET
pulse	MET
technique	MET
be	O
use	O
to	O
investigate	RES
the	O
concrete	ELE
steel	ELE
interfacial	CAU
structure	ELE
which	O
be	O
model	MET
after	RES
modify	CAU
randle	CAU
circuit	MET
analysis	MET
reveal	RES
influence	RES
of	O
the	O
associate	O
cation	CAU
during	O
the	O
rebar	ELE
corrosion	DEF
process	MET
normalisation	DEF
approach	O
be	O
use	O
to	O
compare	RES
chloride	CAU
attack	DEF
on	O
the	O
rebar	ELE
due	O
to	O
different	CAU
salt	CAU
solution	CAU
result	RES
suggest	O
that	O
chloride	CAU
attack	DEF
in	O
the	O
presence	O
of	O
sodium	CAU
cation	CAU
be	O
relatively	O
corrosive	CAU
the	O
potentiodynamic	MET
polarization	MET
result	RES
of	O
cpfnic	CAU
coat	CAU
rebar	ELE
show	O
high	CAU
corrosion	DEF
potential	DEF
low	CAU
corrosion	DEF
current	DEF
density	DEF
three	O
order	CAU
high	RES
polarization	DEF
resistance	DEF
and	O
two	CAU
order	CAU
lower	RES
corrosion	DEF
rate	DEF
than	RES
the	O
uncoated	CAU
rebar	ELE
the	O
eis	MET
measurement	DEF
show	O
significantly	RES
high	RES
charge	DEF
transfer	DEF
resistance	DEF
for	O
the	O
cpfnic	CAU
as	O
compare	RES
to	O
the	O
uncoated	CAU
rebar	ELE
the	O
visual	MET
inspection	MET
and	O
weight	DEF
loss	DEF
measurement	DEF
in	O
salt	CAU
spray	CAU
and	O
chemical	MET
resistance	DEF
test	MET
of	O
cpfnic	CAU
coat	CAU
rebar	ELE
corroborate	O
its	O
improve	RES
resistance	DEF
in	O
chloride	CAU
environment	CAU
our	O
result	RES
suggest	O
the	O
benefit	RES
of	O
ternary	ELE
composite	ELE
cementitious	ELE
coat	ELE
the	O
efficacy	DEF
of	O
the	O
polypyrrole	ELE
reinforcement	ELE
coat	CAU
in	O
minimize	RES
the	O
effect	RES
of	O
corrosion	DEF
and	O
the	O
reinforcement	ELE
effect	RES
on	O
the	O
physical	MET
property	DEF
of	O
the	O
concrete	ELE
specimen	ELE
be	O
examine	O
the	O
result	RES
show	O
that	O
both	RES
the	O
pre	CAU
exist	CAU
crack	DEF
and	O
sustain	CAU
load	CAU
have	O
noticeable	RES
influence	RES
on	O
the	O
corrosion	DEF
behavior	DEF
of	O
tunnel	ELE
line	ELE
the	O
specimen	ELE
with	RES
polypyrrole	ELE
coat	CAU
exhibit	O
delay	RES
onset	DEF
of	O
reinforcement	ELE
corrosion	DEF
less	RES
steel	ELE
mass	DEF
loss	DEF
small	RES
speciman	ELE
surface	ELE
strain	DEF
and	O
small	RES
transverse	CAU
and	O
longitudinal	CAU
crack	DEF
width	CAU
the	O
reason	O
for	O
this	O
difference	DEF
be	O
the	O
anodic	CAU
polarization	DEF
cause	O
by	O
the	O
high	RES
concentration	CAU
of	O
dissolve	CAU
iron	CAU
ion	CAU
in	O
micro	CAU
solution	CAU
there	O
be	O
small	CAU
relational	DEF
disperse	CAU
degree	DEF
of	O
corrosion	DEF
rate	DEF
measure	O
by	O
the	O
optimize	MET
electrochemical	MET
cell	MET
in	O
micro	CAU
solution	CAU
and	O
the	O
real	MET
site	MET
study	O
it	O
be	O
find	O
that	O
the	O
level	CAU
of	O
current	CAU
actually	O
pick	CAU
up	CAU
by	O
the	O
steel	ELE
rebar	ELE
be	O
decrease	RES
at	O
the	O
instant	O
when	O
the	O
stray	CAU
current	CAU
supply	CAU
be	O
just	O
turn	RES
off	RES
an	O
opposite	CAU
current	CAU
flow	DEF
back	CAU
flow	DEF
be	O
record	O
besides	O
an	O
expansion	O
of	O
the	O
database	MET
for	O
monitor	MET
stray	CAU
current	CAU
interference	CAU
on	O
reinforce	ELE
concrete	ELE
structure	ELE
the	O
record	O
result	RES
can	O
be	O
the	O
basis	O
for	O
well	RES
understand	O
the	O
process	MET
of	O
stray	CAU
current	CAU
interference	CAU
the	O
chemical	MET
self	DEF
heal	DEF
system	MET
with	RES
sodium	CAU
monofluorophosphate	CAU
ethyl	CAU
cellulose	CAU
microcapsule	ELE
can	O
postpone	RES
the	O
rust	DEF
procedure	MET
and	O
effectively	RES
inhibit	RES
the	O
rust	DEF
rate	DEF
of	O
rebar	ELE
in	O
simulate	RES
corrosion	CAU
environment	CAU
the	O
corrosion	DEF
inhibit	DEF
performance	DEF
become	O
significant	RES
with	RES
the	O
microcapsule	ELE
increase	RES
moreover	O
linear	CAU
relationship	DEF
between	RES
volume	DEF
loss	DEF
of	O
rebar	ELE
and	O
time	CAU
be	O
deduce	O
from	O
the	O
ray	MET
μct	MET
datum	MET
correspond	O
corrosion	DEF
ratio	DEF
and	O
corrosion	DEF
rate	DEF
be	O
quantitatively	O
calculate	O
for	O
comparison	O
of	O
the	O
inhibition	DEF
afford	RES
by	O
the	O
chemical	MET
self	DEF
heal	MET
system	MET
the	O
current	CAU
density	DEF
experience	O
multiple	CAU
peak	DEF
relate	O
to	O
the	O
nucleation	DEF
of	O
metastable	CAU
pit	ELE
on	O
aisi	MET
ln	CAU
surface	ELE
near	O
the	O
yield	DEF
stress	DEF
fy	DEF
follow	O
by	O
passivity	DEF
breakdown	DEF
of	O
the	O
passive	CAU
film	ELE
due	O
to	O
residual	CAU
stress	DEF
in	O
addition	DEF
to	O
the	O
chloride	CAU
pit	DEF
process	MET
the	O
activation	DEF
of	O
dislocation	CAU
dynamic	MET
induce	RES
high	CAU
stress	DEF
concentration	DEF
in	O
the	O
passive	CAU
film	ELE
after	RES
reach	O
fy	CAU
stress	DEF
value	DEF
and	O
consequently	O
the	O
development	DEF
of	O
high	CAU
oxygen	CAU
vacancy	DEF
increase	RES
the	O
oxygen	CAU
diffusion	DEF
and	O
therefore	O
produce	O
stable	CAU
pit	DEF
instead	O
of	O
metastable	CAU
one	CAU
the	O
addition	DEF
of	O
wt	O
cl−	CAU
in	O
the	O
concrete	ELE
pore	ELE
solution	CAU
enhance	RES
the	O
in	O
this	O
research	O
we	O
apply	O
acoustic	MET
emission	DEF
ae	MET
technique	MET
to	O
evaluate	RES
the	O
seismic	MET
capacity	DEF
of	O
the	O
specimen	ELE
which	O
be	O
subject	O
to	O
influence	RES
of	O
rebar	ELE
corrosion	DEF
then	O
the	O
result	RES
of	O
ae	MET
activity	DEF
and	O
parameter	CAU
analysis	MET
be	O
compare	RES
with	RES
such	O
mechanical	MET
property	DEF
as	O
flexural	DEF
capacity	DEF
toughness	DEF
and	O
quantity	CAU
of	O
energy	DEF
absorption	DEF
furthermore	O
the	O
corrosion	DEF
state	MET
of	O
the	O
acceleration	DEF
stage	MET
be	O
compare	RES
to	O
the	O
dormant	CAU
stage	MET
it	O
be	O
confirm	O
that	O
mechanical	MET
property	DEF
at	O
the	O
acceleration	DEF
stage	MET
decrease	RES
from	O
the	O
dormant	CAU
stage	MET
and	O
ae	MET
activity	DEF
be	O
correlate	RES
with	RES
the	O
seismic	MET
capacity	DEF
of	O
the	O
specimen	ELE
in	O
these	O
test	MET
concrete	ELE
substrate	ELE
have	O
an	O
embed	CAU
rebar	ELE
in	O
it	O
and	O
repair	MET
mortar	ELE
be	O
apply	O
on	O
the	O
top	CAU
create	O
composite	ELE
speciman	ELE
with	RES
repair	MET
interface	ELE
some	O
of	O
the	O
parameter	CAU
measure	RES
be	O
surface	ELE
resistivity	DEF
half	CAU
cell	CAU
potential	DEF
overlay	RES
delamination	DEF
time	CAU
residual	CAU
rebar	ELE
pullout	MET
load	DEF
and	O
rebar	ELE
corrosion	DEF
degree	DEF
sorptivity	MET
test	MET
indicate	O
that	O
the	O
nfc	CAU
be	O
indeed	O
capable	O
of	O
refine	RES
the	O
pore	ELE
structure	ELE
through	O
internal	CAU
cure	CAU
and	O
thus	O
reduce	RES
the	O
capillary	DEF
uptake	DEF
of	O
water	CAU
moreover	O
the	O
tendency	O
of	O
the	O
nfc	CAU
to	O
entrap	RES
micro	CAU
void	CAU
especially	O
near	O
the	O
repair	MET
interface	ELE
thereby	O
indirectly	RES
reduce	RES
the	O
result	RES
indicate	O
that	O
the	O
corrosion	DEF
rate	DEF
of	O
rebar	ELE
in	O
coral	CAU
aggregate	CAU
concrete	ELE
gradually	RES
decrease	RES
with	RES
the	O
increase	RES
of	O
concrete	ELE
strength	DEF
grade	DEF
and	O
cover	ELE
thickness	CAU
and	O
the	O
order	CAU
of	O
anti	DEF
corrosion	DEF
performance	DEF
of	O
reinforcement	ELE
from	O
high	CAU
to	O
low	CAU
be	O
epoxy	CAU
resin	ELE
coat	CAU
steel	ELE
duplex	CAU
stainless	CAU
steel	ELE
stainless	CAU
steel	ELE
organic	CAU
coat	CAU
steel	ELE
and	O
ordinary	CAU
steel	ELE
the	O
chloride	CAU
threshold	DEF
value	DEF
by	O
weight	CAU
of	O
concrete	ELE
of	O
these	O
reinforcement	ELE
in	O
coral	ELE
aggregate	CAU
concrete	ELE
be	O
determine	O
and	O
rank	O
from	O
small	CAU
to	O
large	CAU
as	O
follow	O
ordinary	CAU
steel	ELE
organic	CAU
coat	CAU
steel	ELE
stainless	CAU
steel	ELE
nacl	CAU
solution	CAU
due	O
to	O
the	O
formation	DEF
of	O
fe	CAU
h2po4	CAU
and	O
fehpo4	CAU
as	O
intermediate	CAU
these	O
could	O
be	O
transform	RES
into	O
stable	CAU
and	O
protective	CAU
tertiary	CAU
iron	CAU
phosphate	CAU
fepo4	CAU
if	O
optimum	O
amount	CAU
of	O
phosphate	CAU
ion	CAU
be	O
present	O
but	O
in	O
the	O
case	CAU
of	O
kg	O
m3	O
apm	CAU
mostly	O
phosphate	CAU
ion	CAU
consume	O
in	O
the	O
formation	DEF
of	O
ca3	CAU
po4	CAU
and	O
ca5	CAU
po4	CAU
3cl	CAU
therefore	O
this	O
sample	ELE
become	O
vulnerable	RES
to	O
corrosion	DEF
on	O
the	O
other	O
hand	O
kg	O
m3	O
apm	CAU
the	O
phosphate	CAU
ion	CAU
it	O
be	O
find	O
that	O
the	O
heat	CAU
bar	ELE
effect	RES
can	O
lead	RES
to	O
an	O
increase	RES
in	O
the	O
corrosion	DEF
level	DEF
the	O
moisture	CAU
content	CAU
of	O
concrete	ELE
noticeably	O
affect	RES
the	O
heat	CAU
bar	ELE
effect	RES
on	O
the	O
corrosion	DEF
performance	DEF
of	O
partially	CAU
carbonate	CAU
concrete	ELE
for	O
bond	DEF
study	O
pull	MET
out	MET
specimen	ELE
with	RES
cpc	CAU
coat	CAU
steel	ELE
rebar	ELE
be	O
cast	O
it	O
be	O
find	O
that	O
even	O
negligible	CAU
corrosion	DEF
can	O
lead	RES
to	O
≈50	O
to	O
reduction	RES
in	O
bond	DEF
strength	DEF
this	O
indicate	O
that	O
the	O
corrosion	DEF
propagation	DEF
period	CAU
in	O
the	O
case	CAU
of	O
cpc	CAU
coat	CAU
rebar	ELE
system	ELE
would	O
be	O
negligible	RES
base	O
on	O
the	O
corrosion	DEF
and	O
bond	DEF
result	RES
new	O
service	MET
life	MET
model	MET
for	O
rc	ELE
system	ELE
with	RES
cpc	CAU
coat	CAU
steel	ELE
rebar	ELE
be	O
propose	O
the	O
result	RES
highlight	O
that	O
if	O
preventive	DEF
maintenance	DEF
be	O
not	RES
employ	O
many	O
structure	ELE
with	RES
cpc	CAU
coat	CAU
rebar	ELE
can	O
experience	O
premature	DEF
corrosion	DEF
initiation	DEF
and	O
significant	RES
bond	DEF
reduction	DEF
base	O
on	O
the	O
characteristic	DEF
analysis	MET
of	O
xct	MET
image	MET
the	O
time	CAU
point	MET
of	O
the	O
initial	CAU
rust	DEF
and	O
corrosion	DEF
induce	CAU
crack	DEF
be	O
estimate	RES
moreover	O
the	O
whole	O
corrosion	DEF
process	MET
can	O
be	O
divide	O
into	O
three	O
phase	MET
as	O
corrosion	DEF
initiation	DEF
chloride	CAU
penetration	DEF
free	CAU
expansion	DEF
and	O
crack	DEF
which	O
agree	O
with	RES
the	O
frequently	O
use	O
corrosion	DEF
model	MET
when	O
rebar	ELE
be	O
in	O
passive	CAU
state	CAU
steel	ELE
mass	DEF
loss	DEF
be	O
negligible	RES
due	O
to	O
macrocell	CAU
current	CAU
however	O
after	RES
corrosion	CAU
onset	CAU
the	O
influence	RES
of	O
these	O
current	CAU
be	O
great	RES
the	O
worse	RES
concrete	ELE
quality	DEF
be	O
and	O
the	O
small	RES
cover	ELE
be	O
the	O
corrosion	DEF
rate	DEF
show	O
difference	DEF
of	O
almost	O
two	O
order	CAU
of	O
magnitude	DEF
in	O
concrete	ELE
c30	CAU
and	O
of	O
one	CAU
order	CAU
of	O
magnitude	DEF
in	O
concrete	ELE
c50	CAU
when	O
the	O
total	O
corrosion	DEF
rate	DEF
be	O
determine	O
only	RES
by	O
measure	MET
microcell	CAU
current	CAU
the	O
obtain	RES
value	DEF
tend	O
to	O
underestimate	RES
the	O
mass	DEF
loss	DEF
due	O
to	O
corrosion	CAU
by	O
conversely	O
when	O
the	O
analysis	MET
include	O
macrocell	CAU
current	CAU
good	RES
fit	DEF
between	RES
the	O
in	O
second	CAU
set	O
of	O
simulation	MET
uniform	CAU
corrosion	DEF
be	O
assume	O
so	O
as	O
to	O
conduct	O
parametric	MET
study	O
of	O
the	O
same	CAU
specimen	ELE
for	O
an	O
accurate	RES
understand	O
of	O
each	O
influence	RES
factor	DEF
it	O
be	O
observe	O
that	O
when	O
all	O
rebar	ELE
corrode	DEF
simultaneously	RES
the	O
initial	CAU
crack	DEF
propagate	RES
along	O
the	O
outer	CAU
rebar	ELE
because	O
this	O
be	O
where	O
the	O
confinement	DEF
effect	RES
be	O
minimum	RES
crack	DEF
along	O
inner	CAU
rebar	ELE
be	O
delay	RES
due	O
to	O
strong	CAU
compression	DEF
zone	CAU
result	RES
from	O
mechanical	MET
interaction	DEF
among	O
corrode	ELE
rebar	ELE
stress	DEF
however	O
this	O
compression	DEF
zone	CAU
